**ि**्	UNK.NN
*्*े*ी**्*	JJ
**्*ा*़्**ा*	UNK
*ा*ि*्**ा***ि*ो*	UNK
*ा*्*ी**	NN
*ा*्***्*ी	UNK.JJ
*्**ं**ा**ा	UNK
*ि*्***ू*्**	UNK.NN
*ा*्**्**ा*ि*ाँ	NN
**ि**ृ	UNK
*़ि*्*ू**े	UNK
*ि*ा*ं***्*ि*	UNK
**ि**ी	UNK.NN
*ुं***ा*	JJ
*ा*ा*ि*	UNK.NN.VM.JJ
*्*ा*ा**ा*ा*ं	NN
*्*ा**ि***ि**ं**	UNK
*़*ि*्*ों	UNK
*ु***ा*्*े*्*	UNK
**ुं*्*	UNK.JJ
***ा*े***ा*े	UNK
**ो*ि*ी*	UNK
**ु***ु*	UNK
**्*ो*ि*ि*ा*	UNK
*ी*ां**ि	UNK.NN
*्**्*ा**ा	NN
*्*ु**ा*ी	JJ.NN
**ा*ं*्*ी	NN
*ु**ि*्**ी	NN
*्**्*ी***	UNK.NN
*ि**ं*े	UNK
*ि**ं*ी	UNK
*ै*्*ो*े**	UNK
*****ू*	UNK
*ि**ी**ू*	UNK
*ं**	RDP.NN.VAUX.XC.VM.JJ.UNK.NST.NNP
*ी*े*ा*े	UNK
*ा*े*्**ी	XC.NNP
*ूं***	VM
*ं*ु*़्**	UNK
**ं**ू*्**	NN
*ं*ि*ा*	UNK.JJ.NN.NNP
*ो*्*़*ू*	UNK
**्*ी*ं*ी	UNK
**्*ि*ि**ी*	UNK
*ा*ृ*ा*ा	NN
*ां***ां**्*े*्*	UNK
**ि**ं	UNK.NN
*िं***ो*ि*ा	UNK
*्**ु*ों	NN
*्*ी***ू*	NN
****ी**ा*ा	UNK
*ाँ**	UNK
******ि*	UNK
*ी**ाः	QO
*ू*्*ि**	UNK
*ु**ें*	UNK
*ूं*ी**ी*	UNK
*्**्*ा**ृ	UNK
*ृ*्***ा*ि*ा	UNK
*ि**़ी**ा*	UNK
*ां*्**ा	NN
***्*ों	UNK.JJ.NN
*****्*ि*्*	UNK
*्*ि*ी*ा*्*	UNK
*ू*्*्***ा	UNK
**़्*ि**ं**्*	UNK
*ै*े**ं*ि*ां	UNK
**ि***ों	UNK.NN
*ि*ो***ि*ो*ि*ाँ	UNK
*े*ि*्**	UNK
**ि**ि	NN
**ि**ा	UNK.NN
*ं*़्*ा**ि*े*	UNK
*ूं*ी*ि*े*	NN
*्*्*ि**	UNK
*ा*्***्*ा	NN
*्*े**ी	UNK.JJ.NN
*ो**ि*ि**	UNK
*ो***ों	NN
*ां**ें**ां	UNK
*ै*्*्*ी	NN
**्*ू**्*ु*ं	UNK
*्**्**्*्*्	XC.NN
**ि*ा**ू*्*	JJ
**्*े***	NN
*ु****ृ*्*ि	UNK
*ि*़*ा	UNK
*़*ू**ें	UNK
*ा*्*ु*ि*्*ी*	NN.JJ
*ं**ि*्*ा*	NN
*ं***ा*ी*	JJ
**ि*्**्**्*ा	NN
*्**ी*ा*ु*ं	UNK
*ि*****्*्*्*्**ं*े*	UNK
*ा***	NN.VAUX.XC.VM.JJ.UNK.NNP
*ो*ा**ि*ा*ा	UNK
*ें*िं*़्*	UNK
*ै***ां	UNK
*ी*ा**ि*्**ी	UNK
*्*ृ*ि*ां	NN
*्*ा**्**ा	NN
**्*ी*ा*ा**	NN
**ि*****्*्*्*्**ि*	UNK
*****ि*ा*	UNK
*ी*ा*ी	UNK.JJ.NN
*्*ो*्*्	XC
***ि**़्*	UNK
*ू*ा*ा*	UNK.NN
*्**ा*ा**	NN
